Rotation 0 deg zeroZ 4400
id x y z 
709 95.610 249.690 4397.150
710 97.280 221.680 4398.040
711 97.590 191.470 4397.940
712 108.990 167.190 4397.410
713 97.310 -138.370 4397.930
714 97.310 -168.370 4399.420
715 97.310 -198.370 4402.240
716 97.310 -228.370 4404.740
717 97.310 -258.340 4407.950
718 92.380 -288.390 4410.120
719 95.270 -320.400 4412.230
720 101.800 -346.310 4412.900
721 97.210 -378.370 4411.960
722 97.310 -408.370 4411.670
723 97.320 -438.400 4411.360
724 95.310 -468.370 4411.650
725 101.810 -496.370 4412.200
726 97.310 -528.370 4414.340
727 97.310 -558.370 4415.790
728 130.100 543.780 4401.670
729 121.480 504.860 4400.150
730 122.890 484.450 4399.260
731 123.390 448.110 4398.600
732 122.260 407.320 4399.170
733 122.840 385.780 4399.710
734 123.280 356.570 4399.180
735 123.290 326.950 4399.070
736 120.390 292.660 4399.060
737 123.220 266.810 4398.000
738 123.070 236.860 4399.590
739 123.280 206.710 4399.090
740 123.550 176.600 4398.960
741 123.360 146.800 4396.630
743 123.290 -127.370 4398.690
744 119.380 -153.350 4399.440
745 119.290 -183.370 4401.980
746 119.290 -217.370 4405.050
747 123.290 -243.370 4407.480
748 123.290 -273.370 4410.650
749 119.250 -306.670 4411.920
750 123.110 -333.630 4411.680
751 123.040 -363.610 4410.720
752 123.110 -393.600 4410.440
753 123.330 -423.620 4410.310
754 123.220 -453.450 4410.680
755 125.030 -480.440 4412.210
756 122.740 -513.340 4412.270
757 126.080 -540.690 4413.490
758 149.130 548.710 4402.230
759 147.140 521.840 4401.900
762 149.360 431.440 4400.170
763 149.510 402.290 4399.830
764 149.190 371.710 4399.450
765 148.850 341.610 4398.430
766 149.070 311.750 4398.950
767 149.210 281.850 4399.720
768 149.390 251.750 4399.580
769 149.340 221.710 4399.220
770 149.380 191.620 4399.080
771 149.140 161.730 4398.670
772 149.470 131.490 4397.950
773 149.320 101.580 4397.820
775 151.270 -108.370 4398.630
776 149.400 -134.230 4399.940
777 149.270 -172.370 4402.510
778 149.270 -198.370 4404.350
779 153.770 -230.370 4407.780
780 149.270 -258.370 4409.780
781 149.110 -284.620 4410.970
782 149.180 -318.690 4412.310
783 153.440 -352.040 4411.260
784 149.040 -378.540 4410.620
785 149.060 -408.790 4410.620
786 149.160 -436.480 4411.130
787 144.370 -467.510 4411.530
788 155.160 -502.370 4412.360
789 149.010 -528.410 4412.900
790 147.400 -556.230 4414.050
795 173.420 414.460 4399.980
796 172.350 379.290 4400.620
797 175.380 356.370 4400.570
798 175.050 326.760 4398.950
799 174.680 296.460 4399.370
800 175.160 266.630 4400.120
801 175.230 236.340 4399.360
802 175.210 206.500 4398.740
803 175.220 175.980 4398.930
804 175.270 146.400 4398.880
805 175.090 116.760 4398.510
806 175.530 86.400 4397.700
807 175.510 56.720 4397.380
808 181.580 29.860 4396.990
809 175.400 -93.310 4398.800
810 175.330 -123.190 4400.320
811 175.250 -153.370 4402.120
812 175.250 -183.370 4404.130
813 175.250 -213.370 4406.890
814 179.250 -239.370 4408.850
815 175.130 -273.690 4411.160
816 175.030 -303.750 4411.030
817 175.110 -333.430 4410.910
818 175.220 -363.670 4411.020
819 175.310 -393.720 4410.600
820 174.070 -422.790 4411.070
821 175.070 -453.640 4411.630
822 174.880 -483.540 4412.270
823 175.040 -513.640 4412.620
824 174.480 -542.930 4413.970
828 201.800 431.360 4400.300
829 201.770 401.450 4401.090
830 200.680 370.540 4399.540
831 201.170 340.260 4399.480
832 201.430 311.720 4399.350
833 201.310 281.570 4399.530
834 201.260 251.680 4399.600
835 201.190 221.740 4399.030
836 201.240 191.640 4398.860
837 196.280 161.650 4398.480
838 209.310 131.630 4400.390
839 209.940 101.340 4398.820
840 201.490 71.310 4398.780
841 201.300 41.480 4398.770
842 201.340 11.420 4397.590
843 201.330 -9.360 4397.480
844 201.370 -78.260 4398.580
845 201.230 -108.170 4399.570
846 201.230 -138.370 4401.380
847 201.230 -168.370 4403.040
848 201.230 -191.370 4405.530
849 201.230 -224.370 4408.280
850 201.070 -258.560 4410.170
851 201.020 -285.590 4410.950
852 196.520 -318.580 4410.650
853 201.440 -348.240 4411.010
854 200.200 -378.890 4410.810
855 203.600 -408.260 4410.960
856 200.910 -438.550 4411.780
857 196.900 -468.670 4411.700
858 199.030 -498.800 4412.380
859 201.070 -528.530 4412.560
862 229.730 448.330 4402.530
863 227.680 416.480 4401.650
864 227.330 374.640 4400.000
865 227.060 356.590 4399.800
866 227.350 326.590 4400.040
867 227.040 296.520 4399.580
868 227.590 266.360 4399.650
